codigo_med,nombre_med,formaf,tipomed
1706,CEFUROXIMA 250 mg/5 mL 60 mL SUSPENSION,SUSPENSION,M
20260,MANGA MIXTA PAPEL Y PLASTICO PARA ESTERILIZACION SIN FUELLE 20 cm X 200 m   UNIDAD,UNIDAD,I
54223,ISONIAZIDA + RIFAPENTINA 300 mg + 300 mg - TABLETA,TABLETA,M
41090,MEDIA DE COMPRESION MUSLO TALLA S   UNIDAD,UNIDAD,I
10108,"AGUJA DE PUNCION LUMBAR 25 G X 3 1/2""   UNIDAD",UNIDAD,I
38821,TIJERA COAGULANTE ULTRASONICA 17 cm CON MANDIBULA CURVA 16 mm   UNIDAD,UNIDAD,I
38837,MINIPLACA DE TITANIO RECTA 2 AGUJEROS SISTEMA 1.5 mm   UNIDAD,UNIDAD,I
29191,GORRO DESCARTABLE UNISEX X 100   UNIDAD,UNIDAD,I
28076,TUBO PARA EXTRACCION DE SANGRE CON SISTEMA DE VACIO DE POLIETILENO TEREFTALATO (PET) 4 mL CON HEPARINA DE LITIO   UNIDAD,UNIDAD,I
22358,APOSITO HIDROCOLOIDE GRUESO 10 cm X 10 cm   UNIDAD,UNIDAD,I
50089,"VACUNA CONTRA LA VIRUELA SIMICA (SMALLPOX Y MONKEYPOX) VIVA NO REPLICANTE, FAB. BAVARIAN NORDIC A/S-DINAMARCA 0.5 mL/DOSIS VIAL x 0.5 mL INYECTABLE",INYECTABLE,M
38786,SOFOSBUVIR + VELPATASVIR 400 mg + 100 mg  TABLETA,TABLETA,M
25529,SUTURA DE POLIESTER TRENZADO VERDE 2/0 C/2A 1/2 CIRCULO REDONDA 25 mm X 90 cm   UNIDAD,UNIDAD,I
19365,CAMPO QUIRURGICO DESCARTABLE 90 cm X 90 cm   UNIDAD,UNIDAD,I
43603,CANULA ENDOLUMINAL (STENT) CORONARIA DE METAL MEDICADA  2.75 mm X 20 mm UNIDAD,UNIDAD,I
25090,SUTURA DE POLIPROPILENO AZUL MONOFILAMENTO 6/0 C/DOBLE AGUJA 3/8 CIRCULO REDONDA 9.3 mm X 60 cm   UNIDAD,UNIDAD,I
24352,DISCO DE SENSIBILIDAD DE CEFOXITINA 30 µg  50 DISCOS UNIDAD,UNIDAD,I
31151,MANGA DE POLIETILENO ESTERIL PARA LAPAROSCOPIA 18 cm X 2.13 m   UNIDAD,UNIDAD,I
34978,LENTE INTRAOCULAR DIOPTRIA 11.0 CAMARA POSTERIOR PLEGABLE 1 PIEZA   UNIDAD,UNIDAD,I
2029,CLORANFENICOL (UNGÜENTO OFTALMICO) 1 g/100 g 3.5 g UNGÜENTO,UNGUENTO,M
49556,"ANTISUERO ANTI SALMONELLA ""O"" GRUPO C2 (6,8)  X 3 mL UNIDAD",UNIDAD,I
46167,GUIA METALICA HIDROFILICA PUNTA ANGULADA 0.014 in X 3 m   UNIDAD,UNIDAD,I
54384,VALVULA PARA TROCAR DE CIRUGIA LAPAROSCOPICA DE DIAMETRO - X 5 mm UNIDAD,UNIDAD,I
49922,ELECTRODO AGUJA MONOPOLAR PARA RADIOFRECUENCIA 7 cm X 18 G AGUJA CON PUNTA ACTIVA 10 mm   UNIDAD,UNIDAD,I
35410,CATETER DE DRENAJE TORAXICO 24 FR   UNIDAD,UNIDAD,I
30804,GAMMA GLUTAMIL TRANSFERASA (CGT)  100 DET KIT,KIT,I
12543,TORNILLO CORTICAL 3.5 mm X 26 mm   UNIDAD,UNIDAD,I
50731,CURETA PARA HUESO 4 mm X 17 cm   UNIDAD,UNIDAD,I
47463,KIT PARA LA CUANTIFICACION DE AMINOACIDOS Y ACILCARNITINAS ASOCIADOS AL TRASNTORNO METABOLICO NEONATAL DE AMINOACID Y ACIDOS GRASOS 960 DETERMINACIONES UNIDAD,UNIDAD,I
19936,TROCAR PARA CIRUGIA LAPAROSCOPICA 10 mm   UNIDAD,UNIDAD,I
42003,CLORHEXIDINA (ESPUMA) DISPOSITIVO DISPENSADOR CIRCUITO CERRADO 4 g/100 mL 1 L SOLUCION,SOLUCION,M
24596,ORTOFTALDEHIDO 0.55 % 1 gal UNIDAD,UNIDAD,I
28492,CLAVO SCHANZ ROSCA CENTRAL 4.5 mm X 300 mm   UNIDAD,UNIDAD,I
30852,DISCO DE SENSIBILIDAD DE ERTAPENEN 10 µg 50 DISCOS UNIDAD,UNIDAD,I
24719,SURFACTANTE PULMONAR DE ORIGEN NATURAL (SUSPENSION INTRATRAQUEAL) 80 mg/mL 3 mL INYECTABLE,INYECTABLE,M
5645,QUETIAPINA 100 mg  TABLETA,TABLETA,M
21574,AMPICILINA (COMO SAL SODICA) CON DILUYENTE 500 mg  INYECTABLE,INYECTABLE,M
10005,ACEITE DE INMERSION  PARA MICROSCOPIA  500 mL UNIDAD,UNIDAD,I
5266,PACLITAXEL 300 mg 50 mL INYECTABLE,INYECTABLE,M
24571,JERINGA DESCARTABLE DE 1.0 mL PARA GASES ARTERIALES Y ELECTROLITOS C/HEPARINA DE LITIO   UNIDAD,UNIDAD,I
51035,CATETER BALON PARA ANGIOPLASTIA PERIFERICA 4 FR X 120 mm X 150 cm   UNIDAD,UNIDAD,I
23592,SUTURA NAILON AZUL MONOFILAMENTO 5/0 C/A 3/8 CIRCULO CORTANTE 15 mm X 75 cm   UNIDAD,UNIDAD,I
25967,SET DE INFUSION (LINEA DE EXTENSION Y JERINGA PERFUSORA 20 mL)   UNIDAD,UNIDAD,I
54658,ESPARADRAPO HIPOALERGENICO DE TELA - 7.6 cm x 9.1 m aprox. X UNIDAD,UNIDAD,I
25832,TUBO ENDOTRAQUEAL DESCARTABLE Nº 4.0 CON BALON   UNIDAD,UNIDAD,I
41982,MALLA DE POLIPROPILENO NO TEJIDA DE CONTACTO VISCERAL 20.07 cm X 30.12 cm X 30.12 cm   UNIDAD,UNIDAD,I
35515,BOTA DESCARTABLE COLOR CELESTE   UNIDAD,UNIDAD,I
55546,PRUEBA RAPIDA INMUNOCROMATOGRAFICA PARA DETECCION DE CD4 EN VIH X 25 DETERMINACIONES - UNIDAD,UNIDAD,I
18698,SUTURA SEDA NEGRA TRENZADA 6/0 C/A 3/8 CIRCULO CORTANTE 20 mm X 75 cm   UNIDAD,UNIDAD,I
3454,FENOBARBITAL 100 mg  TABLETA,TABLETA,M
25603,CINTA UMBILICAL 4 mm X 60 cm   UNIDAD,UNIDAD,I
51233,ACIDO ROSOLICO Q.P. X 25 g   UNIDAD,UNIDAD,I
6386,VACUNA CONTRA LA HEPATITIS B PEDIATRICO 10 ug/0.5 mL 1 DOSIS INYECTABLE,INYECTABLE,M
30075,GASA DOBLADA ESTERIL 10 cm X 10 cm X 16 CAPAS X 5 UNIDADES   UNIDAD,UNIDAD,I
12414,SUTURA SEDA NEGRA TRENZADA 3/0 C/A 1/2 CIRCULO REDONDA 25 mm X 75 cm   UNIDAD,UNIDAD,I
28793,TORNILLO ESPONJOSO ROSCA TOTAL 4.0 mm X 30 mm   UNIDAD,UNIDAD,I
17013,SONDA DE ASPIRACION ENDOTRAQUEAL CIRCUITO CERRADO Nº 14   UNIDAD,UNIDAD,I
22800,LIQUIDO PERFLUOR CARBONO PURIFICADO USO OFTALMICO  5 mL UNIDAD,UNIDAD,I
12030,SUTURA CATGUT CROMICO 5/0 C/A 1/2 CIRCULO REDONDA 15 mm X 70 cm   UNIDAD,UNIDAD,I
27345,SUCEDANEO DE LA LECHE MATERNA PARA PREMATUROS  370 g APROX. POLVO,POLVO,I
24813,PARCHE OCULAR PEDIATRICO 4.8 cm X 6.3 cm   UNIDAD,UNIDAD,I
18693,SUTURA NAILON AZUL MONOFILAMENTO 5/0 C/A 3/8 CIRCULO CORTANTE 25 mm X 75 cm   UNIDAD,UNIDAD,I
26680,MICOFENOLATO MOFETILO 500 mg  TABLETA,TABLETA,M
27011,GASA PARAFINADA 10 cm X 7 m   UNIDAD,UNIDAD,I
39771,HORMONA GONADOTROFINA CORIONICA (HCG) SUB UNIDAD BETA CUANTITATIVA  1 DET KIT,KIT,I
52609,ADHESIVO DENTAL  5 mL UNIDAD,UNIDAD,I
16328,EQUIPO DE VENOCLISIS CON FILTRO   UNIDAD,UNIDAD,I
38127,INSUFLADOR DE CATETER BALON CON MANOMETRO   UNIDAD,UNIDAD,I
19238,HIERRO (COMO SACARATO) 20 mg Fe/mL 5 mL INYECTABLE,INYECTABLE,M
19239,BUPIVACAINA CLORHIDRATO + DEXTROSA 20 mg + 320 mg 4 mL INYECTABLE,INYECTABLE,M
43728,CATETER BALON PARA ANGIOPLASTIA PERIFERICA 2.5 mm X 150 mm DE 4 FR X 150 cm   UNIDAD,UNIDAD,I
35737,CLIP DE ANEURISMA RECTO 7 mm PERMANENTE   UNIDAD,UNIDAD,I
990,BACLOFENO 10 mg  TABLETA,TABLETA,M
22766,TUBO DE ENSAYO DE VIDRIO 13 mm X 100 mm   UNIDAD,UNIDAD,I
36194,PAÑAL DESCARTABLE TIPO CALZON PARA ADULTO TALLA XL   UNIDAD,UNIDAD,I
1524,CARBACOL (SOLUCION INTRAOCULAR) 100 ug/mL 1.5 mL INYECTABLE,INYECTABLE,M
42725,ALFA FETOPROTEINA METODO AUTOMATIZADO  DETERMINACIONES UNIDAD,UNIDAD,I
33246,LLAVE DE TRIPLE VIA DE ALTA PRESION CON TRES CUERPOS   UNIDAD,UNIDAD,I
23743,VALVULA CARDIACA MITRAL MECANICA Nº 27   UNIDAD,UNIDAD,I
55520,SET DE CATETER PERCUTANEO DOBLE LUMEN CON INTRODUCTOR PELABLE 2 FR X 30 cm X 7 PIEZAS - UNIDAD,UNIDAD,I
45939,CAJA DE CARTON DESCARTABLE PARA MATERIAL PUNZOCORTANTE  5 L UNIDAD,UNIDAD,I
15323,CANULA ARTERIAL AORTICA N° 12   UNIDAD,UNIDAD,I
52134,FORMULA LACTEA DE CONTINUACION  350 g UNIDAD,UNIDAD,I
21623,COLESTEROL LDL DIRECTO  DET UNIDAD,UNIDAD,I
22152,PLACA NEUTRA DESCARTABLE PARA ELECTROBISTURI PEDIATRICA   UNIDAD,UNIDAD,I
29871,SUTURA DE POLIPROPILENO AZUL MONOFILAMENTO 4/0 C/DOBLE AGUJA 3/8 CIRCULO REDONDA 13 mm X 75 cm   UNIDAD,UNIDAD,I
20875,SUTURA ACIDO POLIGLICOLICO 5/0 C/A 1/2 CIRCULO REDONDA 15 mm X 70 cm   UNIDAD,UNIDAD,I
19891,TUBO ENDOTRAQUEAL DESCARTABLE SIN GLOBO N° 6.5 F   UNIDAD,UNIDAD,I
34396,"AGUJA ESPINAL DESCARTABLE 27 G X 4 3/4""   UNIDAD",UNIDAD,I
8115,LIPIDOS 20 g/100 mL 500 mL INYECTABLE,INYECTABLE,M
34621,ELECTRODOS DTL PARA ESTUDIO ERG MULTIFOCAL   UNIDAD,UNIDAD,I
24346,TRANSAMINASA GLUTAMICA OXALACETICA (TGO) AUTOMATIZADA  1 DET KIT,KIT,I
22363,TUBO ENDOTRAQUEAL DESCARTABLE Nº 5.5 CON BALON   UNIDAD,UNIDAD,I
47483,FIJADOR EXTERNO DE TOBILLO   POLVO,POLVO,I
23292,PIPETA PASTEUR DE PLASTICO DESCARTABLE ESTERIL 3 mL   UNIDAD,UNIDAD,I
24307,DEXKETOPROFENO 25 mg/mL 2 mL INYECTABLE,INYECTABLE,M
20284,BOLSA DE COLOSTOMIA NEONATAL   UNIDAD,UNIDAD,I
39195,SET DE MATERIAL DE RECONSTRUCCION DE LIGAMENTO CRUZADO ANTERIOR (LCA) x 7 PIEZAS   UNIDAD,UNIDAD,I
2545,DACTINOMICINA 500 µg (0.5 mg)  INYECTABLE,INYECTABLE,M
34173,"PELICULA RADIOGRAFICA DIGITAL 8"" X 10"" X 100   UNIDAD",UNIDAD,I
31677,TUBO PARA EXTRACCION DE SANGRE CON SISTEMA DE VACIO DE POLIPROPILENO DE 4 mL SIN ADITIVO   UNIDAD,UNIDAD,I
41444,BISACODILO ( TABLETA DE LIBERACION MODIFICADA) 5 mg  TABLETA,TABLETA,M
31222,"MINIPLACA DE TITANIO ""L"" A LA DERECHA 6 ORIFICIOS SISTEMA 1.5 mm   UNIDAD",UNIDAD,I
31519,TUBO TRAQUEAL EN T 14 mm EXTRA LARGO   UNIDAD,UNIDAD,I
29918,MINIPLACA DE TITANIO L A LA IZQUIERDA 6 AGUJEROS   UNIDAD,UNIDAD,I
22310,DISCO DE SENSIBILIDAD DE AMPICILINA + SULBACTAM 10 ug + 10 ug 50 DISCOS UNIDAD,UNIDAD,I
30045,BOQUILLA ADULTO PARA ENDOSCOPIO   UNIDAD,UNIDAD,I
28434,FILTRO DE NUTRICION PARENTERAL 1.2 µm PARA SISTEMA TERNARIO DESCARTABLE   UNIDAD,UNIDAD,I
17450,TUBO ENDOBRONQUIAL DOBLE LUMEN IZQUIERDO N° 37   UNIDAD,UNIDAD,I
44576,LINEA PARA BOMBA DE INFUSION SIN VOLUTROL LIBRE PVC   UNIDAD,UNIDAD,I
25558,TUBO ENDOTRAQUEAL DESCARTABLE N° 3.5 SIN BALON   UNIDAD,UNIDAD,I
24727,DESHIDROGENASA LACTICA AUTOMATIZADA  1 DET KIT,KIT,I
40945,CAMISA DE ACCESO URETERAL DE 10-12 FR   UNIDAD,UNIDAD,I
44292,TROPONINA I QUIMIOLUMINISCENCIA X 100 DETERMINACIONES   UNIDAD,UNIDAD,I
44080,FILTRO PARA EVACUADOR DE HUMO DE UNIDAD DE ELECTROCIRUGIA   UNIDAD,UNIDAD,I
33872,"CONECTOR RECTO 1/4"" SIN LUER   UNIDAD",UNIDAD,I
28995,TUBO PARA EXTRACCION DE SANGRE CON SISTEMA DE VACIO DE POLIPROPILENO DE 6 mL CON GEL SEPARADOR   UNIDAD,UNIDAD,I
30998,RETRACTOR DE HERIDAS DESCARTABLE FLEXIBLE TALLA XS   UNIDAD,UNIDAD,I
2953,DINITRATO DE ISOSORBIDA 10 mg  TABLETA,TABLETA,M
28674,SUTURA ACIDO POLIGLACTIN 7/0 C/DOBLE AGUJA 3/8 CIRCULO ESPATULADA 6.4 mm X 45 cm   UNIDAD,UNIDAD,I
33376,DISCO DE SENSIBILIDAD DE TEICOPLANINA 30 µg 50 DISCOS UNIDAD,UNIDAD,I
51125,JABON GERMICIDA LIQUIDO CON SENSOR PARA DISPENSAR  1 L JABON SOLIDO,JABON SOLIDO,I
4322,LAMIVUDINA + ZIDOVUDINA 150 mg + 300 mg  TABLETA,TABLETA,M
33099,TEST DE TROPONINA  100 DET KIT,KIT,I
29270,MICROPIPETA VOLUMEN VARIABLE 10 - 100 µL   UNIDAD,UNIDAD,I
47820,DORAVIRINA + LAMIVUDINA + TENOFOVIR 100 mg + 300 mg + 300 mg  TABLETA,TABLETA,M
29739,BOTA DESCARTABLE PARA CIRUJANO ANTIDESLIZANTE   PAR,PAR,I
31554,CRIOVIAL DE POLIPROPILENO ESTERIL 2.0 mL CON TAPA GRADUADO X 500   UNIDAD,UNIDAD,I
42278,PRUEBA RAPIDA PARA TROPONINA I  1 DET KIT,KIT,I
4760,METOTREXATO SODICO 50 mg 2 mL INYECTABLE,INYECTABLE,M
42071,SUTURA NAILON AZUL MONOFILAMENTO 3/0 C/A 3/8 CIRCULO CORTANTE 25 mm X 70 cm   UNIDAD,UNIDAD,I
18724,GEL PARA ECOGRAFIA  4 L UNIDAD,UNIDAD,I
23167,SUTURA ACIDO POLIGLICOLICO 0 C/A 1/2 CIRCULO REDONDA 35 mm X 70 cm   UNIDAD,UNIDAD,I
28957,CARBOXIMETILCELULOSA SODICA + HIALURONATO DE SODIO 5 mg + 2.5 mg/g 5 g GEL,GEL,I
18971,SUTURA NAILON AZUL MONOFILAMENTO 3/0 C/A 3/8 CIRCULO CORTANTE 30 mm X 75 cm   UNIDAD,UNIDAD,I
29967,MANDIL DESCARTABLE TALLA S   UNIDAD,UNIDAD,I
12558,TORNILLO CORTICAL 4.5 mm X 22 mm   UNIDAD,UNIDAD,I
25228,TUBO ENDOTRAQUEAL DESCARTABLE Nº 5.0 CON BALON   UNIDAD,UNIDAD,I
32668,ANTIGENO RPR  1 DET KIT,KIT,I
50612,REACTIVO PARA TINCION AUTOMATIZADA DE FROTIS SANGUINEO   UNIDAD,UNIDAD,I
38665,"MICROGUIA 0.010"" x 200 cm   UNIDAD",UNIDAD,I
26139,TUBO DE GASTROSTOMIA DE BOTON DE BAJO PERFIL Y DE REEMPLAZO Nº 14 X 1 cm   UNIDAD,UNIDAD,I
25557,TUBO ENDOTRAQUEAL DESCARTABLE Nº 3.0 SIN BALON   UNIDAD,UNIDAD,I
22929,UREA CINETICA  125 DET KIT,KIT,I
19194,SUTURA POLIPROPILEN AZUL MONOFILAMENTO 7/0 C/2A 3/8 CIRCULO REDONDA 9.3 mm X 60 cm   UNIDAD,UNIDAD,I
46917,CANULA VENOSA PARA OXIGENACION POR MEMBRANA EXTRACORPOREA (ECMO) UN LUMEN 14 FR   UNIDAD,UNIDAD,I
17485,TUBO ENDOTRAQUEAL SIN GLOBO N° 5 F   UNIDAD,UNIDAD,I
52419,PINZA DE BIOPSIA PARA BRONCOSCOPIA 1.8 mm X 1.20 m DESCARTABLE   UNIDAD,UNIDAD,I
32287,SET DE ACCESORIOS PARA LIGAMENTO CRUZADO ANTERIOR (LCA) X 3 PIEZAS   UNIDAD,UNIDAD,I
25708,ESPATULA DE AYRE DE MADERA X 100 UNIDADES   UNIDAD,UNIDAD,I
5556,POTASIO FOSFATO DIBASICO + POTASIO FOSFATO MONOBASICO 69.7 mg + 27.2 mg 20 mL INYECTABLE,INYECTABLE,M
42820,INJERTO VASCULAR CONICO ANILLADO DE PTFE 5 mm X 8 mm X 70 cm   UNIDAD,UNIDAD,I
54322,DISECTOR INALAMBRICO ULTRASONICO DE MANDIBULA CURVA DESCARTABLE - 5 mm X 35 cm UNIDAD,UNIDAD,I
30439,DARUNAVIR 600 mg  TABLETA,TABLETA,M
45992,FORMULA NUTRICIONAL SEMI ELEMENTAL  131 g UNIDAD,UNIDAD,I
12376,SUTURA SEDA NEGRA TRENZADA 4/0 C/A 3/8 CIRCULO CORTANTE 20 mm X 45 cm   UNIDAD,UNIDAD,I
10935,"EQUIPO EN ""Y"" PARA IRRIGACION   UNIDAD",UNIDAD,I
23860,TRAVOPROST + TIMOLOL  (SOLUCION OFTALMICA) 40 ug/mL + 5 mg/mL 2.5 mL SOLUCION,SOLUCION,M
10566,CLAVO KIRSCHNER 1.6 mm X 20 cm   UNIDAD,UNIDAD,I
25425,DISCO DE SENSIBILIDAD DE MEROPENEM 10 ug 50 DISCOS UNIDAD,UNIDAD,I
32488,APOSITO HIDROCOLOIDE EXTRAFINO 15 cm X 15 cm   UNIDAD,UNIDAD,I
31609,MASCARILLA DESCARTABLE PROTECTORA   UNIDAD,UNIDAD,I
24637,POLIHEXANIDA + UNDECILENAMIDOPROPIL BETAINA 0.1 % + 0.1% 350 mL SOLUCION,SOLUCION,I
17709,NEVIRAPINA 50 mg/5 mL 100 mL SUSPENSION,SUSPENSION,M
10439,CAPSULA DE GELATINA DURA USP N°2   UNIDAD,UNIDAD,I
33350,ASA DE SIEMBRA DESCARTABLE ESTERIL 1 µL X 20   UNIDAD,UNIDAD,I
30523,"PELICULA RADIOGRAFICA SENSIBLE AL VERDE 24"" X 30"" x 100   UNIDAD",UNIDAD,I
39332,CANASTILLA EXTRACTORA DE CALCULOS VIAS BILIARES DE 25 mm x 40 mm x 215 cm   UNIDAD,UNIDAD,I
31822,HEPATITIS B ANTIGENO DE SUPERFICIE  1 DET KIT,KIT,I
30383,ELECTRODO PARA POTENCIALES EVOCADOS X 10 UNIDADES (SET)   UNIDAD,UNIDAD,I
28576,TIRA NERVIOS SET DEL 15-40 DE 21 mm   UNIDAD,UNIDAD,I
34950,"AGUJA HIPODERMICA DESCARTABLE Nº 30 G X 1/2""   UNIDAD",UNIDAD,I
34347,PELICULA RADIOGRAFICA SENSIBLE AL VERDE 24 cm X 30 cm X 100   UNIDAD,UNIDAD,I
47061,FORCEP TIPO BAYONETA PARA NIÑO   UNIDAD,UNIDAD,I
21114,MANGA DE POLIETILENO 20 cm X 60 m   UNIDAD,UNIDAD,I
35424,TUBO PARA EXTRACCION DE SANGRE CON SISTEMA DE VACIO DE POLIPROPILENO DE 3.5 mL CON GEL SEPARADOR   UNIDAD,UNIDAD,I
32302,CANULA DE TRAQUEOTOMIA DESCARTABLE 4.0 mm   UNIDAD,UNIDAD,I
21275,RALTEGRAVIR 400 mg  TABLETA,TABLETA,M
46736,SONDA DE ASPIRACION CONTINUA 100% SILICONA LARGA PERMANENCIA Nº 12 FR   UNIDAD,UNIDAD,I
27240,HORMONA TIROIDEA ESTIMULANTE (TSH) AUTOMATIZADO  1 DET KIT,KIT,I
24704,LLAVE DE TRIPLE VIA CON EXTENSION X 10 cm   UNIDAD,UNIDAD,I
18070,PEMETREXED DISODICO HEPTAHIDRATADO 500 mg  INYECTABLE,INYECTABLE,M
4000,HIPROMELOSA (SOLUCION OFTALMICA) 3 mg/mL 15 mL SOLUCION,SOLUCION,M
6337,TRIFLUOPERAZINA (COMO CLORHIDRATO) 5 mg  TABLETA,TABLETA,M
8175,SUERO ANTIRRABICO HETEROLOGO 1000 UI  INYECTABLE,INYECTABLE,M
34998,PARACETAMOL 10 mg/mL 100 mL INYECTABLE,INYECTABLE,M
5809,SEVOFLURANO 100 mL/100 mL 250 mL SOLUCION,SOLUCION,M
36928,FOSFATO DE SODIO DIBASICO ANHIDRO P.A.  500 g UNIDAD,UNIDAD,I
4041,IFOSFAMIDA 1 g  INYECTABLE,INYECTABLE,M
36780,FRESA DE DIAMANTE DE ALTA VELOCIDAD REDONDA Nº 16		   UNIDAD,UNIDAD,I
3788,DEXTROSA 5 g/100 mL (5 %) 100 mL INYECTABLE,INYECTABLE,M
33533,HORMONA TIROXINA (T4) LIBRE (METODO QUIMIOLUMINISCENCIA)  100 DET KIT,KIT,I
38208,GGT AUTOMATIZADA CINETICO  DET KIT,KIT,I
46016,KIT DE CALIBRACION PARA EQUIPO MOLECULAR DE MENOR COMPLEJIDAD   KIT,KIT,I
54264,AGUJA EPIDURAL DESCARTABLE  N║ 18 G X 3 1/8 in UNIDAD,UNIDAD,I
3443,FENITOINA SODICA 50mg/mL 2 mL INYECTABLE,INYECTABLE,M
55000,KIT ANTIGENO CRIPTOCOCO,UNIDAD,I
37581,CATETER BALON DE BAJO PERFIL 8 mm X 2 cm DE 3 FR X 65 cm   UNIDAD,UNIDAD,I
10973,"ESPARADRAPO DE PAPEL 3"" X 10 yd   UNIDAD",UNIDAD,I
36348,TUBO DE VENTILACION EN FORMA DE T DE LARGA PERMANENCIA PARA MIRINGOTOMIA X 1.14 mm DE SILICONA   UNIDAD,UNIDAD,I
36437,VALVULA AORTICA DE DISCO BIVALVA Nº 19   UNIDAD,UNIDAD,I
31363,PLACA NEUTRA ADULTO DESCARTABLE PARA ELECTROCAUTERIO   UNIDAD,UNIDAD,I
23100,ACIDO URICO ENZIMATICO  100 DET KIT,KIT,I
225,ACIDO TRANEXAMICO 250 mg  TABLETA,TABLETA,M
18787,LENTE INTRAOCULAR DIOPTRIA 23.0 CAMARA POSTERIOR NO PLEGABLE 3 PIEZAS   UNIDAD,UNIDAD,I
33236,CATETER PERCUTANEO PARA EXTRACCION DE CUERPO EXTRAÑO DE LAZO DE 15 mm   UNIDAD,UNIDAD,I
25043,SUSTITUTO DE DURAMADRE 6 cm X 8 cm   UNIDAD,UNIDAD,I
2641,DEXAMETASONA FOSFATO (COMO SAL SODICA) 4 mg/mL 1 mL INYECTABLE,INYECTABLE,M
16833,PAPEL DE ARTICULAR 1 ARCADA   UNIDAD,UNIDAD,I
29109,GLUCOSA ANHIDRA X 100 g   UNIDAD,UNIDAD,I
19232,SUTURA SEDA NEGRA TRENZADA 3/0 C/A 3/8 CIRCULO CORTANTE 25 mm X 75 cm   UNIDAD,UNIDAD,I
37937,SONDA VESICAL 3 VIAS DE SILICONA DE LARGA PERMANENCIA Nº 22   UNIDAD,UNIDAD,I
26202,PAPEL TERMICO PARA ECOGRAFIA 110 mm X 18 m   UNIDAD,UNIDAD,I
25031,FRASCO COLECTOR PARA MUESTRA DE ORINA CON TAPA 90 mL   UNIDAD,UNIDAD,I
51797,STENT AORTICO DE CROMO-COBALTO RECUBIERTO EXPANDIBLE CON BALON 12 X 29 mm   UNIDAD,UNIDAD,I
38316,SUTURA DE POLIETILENO MONOFILAMENTO N° 0 C/A 0.35 mm x 71 cm   UNIDAD,UNIDAD,I
16775,MASCARA DE OXIGENO DESCARTABLE PARA NEBULIZACION NEONATAL   UNIDAD,UNIDAD,I
38794,PLACA LCP DE 3 AGUJEROS x 2.3 mm PARA RADIO PROXIMAL   UNIDAD,UNIDAD,I
18779,LENTE INTRAOCULAR DIOPTRIA 19.0 CAMARA POSTERIOR NO PLEGABLE 3 PIEZAS   UNIDAD,UNIDAD,I
40685,SUTURA DE POLIESTER TRENZADO BLANCO Y VERDE 2/0 C/DOBLE AGUJA C/ALMOHADILLA DE TEFLON 1/2 CIRCULO REDONDA 17 mm x 75   UNIDAD,UNIDAD,I
22626,FILTRO ANTIBACTERIAL VIRAL + INTERCAMBIADOR DE CALOR HUMEDAD ADULTO PARA CIRCUITO CORRUGADO   UNIDAD,UNIDAD,I
21621,REACTIVO DE CALCIO AUTOMATIZADO  1 DET UNIDAD,UNIDAD,I
51812,SET INSTRUMENTAL QUIRURGICO PARA DESTARTRAJE X 5 PIEZAS   UNIDAD,UNIDAD,I
28185,SUTURA DE POLIPROPILENO AZUL MONOFILAMENTO 5/0 C/DOBLE AGUJA 3/8 CIRCULO REDONDA 13 mm X 90 cm   UNIDAD,UNIDAD,I
28427,FILTRO PARA ADMINISTRACION DE CO2 PARA INSUFLADOR STORZ   UNIDAD,UNIDAD,I
20068,PLACA DCP RECTA LIVIANA (ESTRECHA) DE 05 AGUJEROS X 3.5 mm   UNIDAD,UNIDAD,I
23984,SUTURA NAILON NEGRO MONOFILAMENTO 8/0 C/A 3/8 CIRCULO REDONDA 6.5 mm X 15 cm   UNIDAD,UNIDAD,I
47243,ACIDO REVELADOR DENTAL  LITRO SOLUCION,SOLUCION,I
6495,VINORELBINA 50 mg/5 mL 5 mL INYECTABLE,INYECTABLE,M
43677,"REACTIVOS PARA ANALIZADOR DE GASES ARTERIALES, ELECTROLITOS Y METABOLITOS Y COOXIMETRIA  DETERMINACIONES UNIDAD",UNIDAD,I
22169,TERMOMETRO DIGITAL ORAL   UNIDAD,UNIDAD,I
43062,PINCEL DE USO DENTAL DESCARTABLE  X 100 UNIDAD,UNIDAD,I
234,ADENOSINA 6 mg/2 mL 2 mL INYECTABLE,INYECTABLE,M
4127,IOPAMIDOL Equiv. 300 mg Iodo/mL 50 mL INYECTABLE,INYECTABLE,M
35850,SISTEMA DE FIJACION TRANSPEDICULAR DE TITANIO LUMBAR   UNIDAD,UNIDAD,I
27508,TORNILLO DE BLOQUEO 5.0 mm X 75 mm   UNIDAD,UNIDAD,I
41042,SISTEMA DE PLACA DCP RECTA LIVIANA (ESTRECHA) DE 3.5 mm   UNIDAD,UNIDAD,I
41817,CLIP DE ANEURISMA MINI SEMICURVO 5.5 mm PERMANENTE  CAJA DE CARTON SELLADO UNIDAD,UNIDAD,I
31093,"HISOPO VAGINAL DE ALGODON 6""   UNIDAD",UNIDAD,I
24106,CANULA PARA TRAQUEOSTOMIA Nº 4 FENESTRADA CON BALON   UNIDAD,UNIDAD,I
51510,BROCA DE ANCLAJE RAPIDO 1.1 mm X 89 mm   UNIDAD,UNIDAD,I
23555,SUTURA ACIDO POLIGLACTIN 1 C/A 1/2 CIRCULO REDONDA 40 mm X 70 cm   UNIDAD,UNIDAD,I
