codigo_med,nombre_med,formaf,tipomed
18102,ETINILESTRADIOL + LEVONORGESTREL (BLISTER) 30 µg + 150 µg 21 tab + 7 tab SIN EFEC TABLETA,TABLETA,M
11909,SONDA RECTAL N° 30 F   UNIDAD,UNIDAD,I
27904,VACUNA CONTRA LA INFLUENZA PEDIATRICO (ANTIGENO TIPO A (H1N1 + H3N2) + ANTIGENO TIPO B 90 ug/mL 20 DOSIS INYECTABLE,INYECTABLE,M
2954,DINITRATO DE ISOSORBIDA(SUB LINGUAL) 5 mg  TABLETA,TABLETA,M
21437,DISCO DE SENSIBILIDAD DE CEFTAZIDIMA 30 ug 50 DISCOS UNIDAD,UNIDAD,I
18511,MIDAZOLAM 50 mg 10 mL INYECTABLE,INYECTABLE,M
31536,CETILPIRIDINIO CLORURO + CLORHEXIDINA DIGLUCONATO (COLUTORIO) 50 mg + 120 mg/100 mL 500 mL SOLUCION,SOLUCION,M
5151,OMEPRAZOL (COMO SAL SODICA) 40 mg  INYECTABLE,INYECTABLE,M
4523,LOSARTAN POTASICO 50 mg  TABLETA,TABLETA,M
28395,EQUIPO MICROGOTERO CON CAMARA GRADUADA 100 mL   UNIDAD,UNIDAD,I
42804,APOSITO TRANSPARENTE CON ALMOHADILLA 5 cm X 7 cm   UNIDAD,UNIDAD,I
40754,"VACUNA CONTRA DIFTERIA, TETANOS Y TOS FERINA ACELULAR ADSORBIDA (DPTa) 2,5 Lf + 5 Lf + 8 µg 1 DOSIS INYECTABLE",INYECTABLE,M
998,BARIO SULFATO ADMINISTRACION ORAL  340 g POLVO,POLVO,M
27693,LENTE INTRAOCULAR CAMARA POSTERIOR PLEGABLE 21.50 DIOPTRIAS 1PIEZAS   UNIDAD,UNIDAD,I
3178,ERITROMICINA 250 mg/5 mL 120 mL SUSPENSION,SUSPENSION,M
34831,"PELICULA RADIOGRAFICA LASER 10"" X 12"" X 125   UNIDAD",UNIDAD,I
2835,DICLOXACILINA (COMO SAL SODICA) 250 mg  TABLETA,TABLETA,M
2654,DEXAMETASONA 500 µg (0.5 mg)  TABLETA,TABLETA,M
10068,AGAR SABOURAUD  500 g UNIDAD,UNIDAD,I
19332,CAMPO DESCARTABLE DENTAL   UNIDAD,UNIDAD,I
31414,SUERO CONTROL BIOQUIMICO PATOLOGICO  5 mL SOLUCION,SOLUCION,I
31228,PIEDRA ARKANSAS FLAMA   UNIDAD,UNIDAD,I
2319,CLOTRIMAZOL 1 g/100 g (1 %) 20 g CREMA,CREMA,M
